% Freq(Hz) h_c
4.7499843e-08 1.9949671e-14
4.7579541e-08 1.9999638e-14
4.7659238e-08 2.0048612e-14
4.7738936e-08 2.0096660e-14
4.7818634e-08 2.0143904e-14
4.7898331e-08 2.0190510e-14
4.7978029e-08 2.0236685e-14
4.8057727e-08 2.0282660e-14
4.8137425e-08 2.0328679e-14
4.8217122e-08 2.0374989e-14
4.8296820e-08 2.0421820e-14
4.8376518e-08 2.0469376e-14
4.8456215e-08 2.0517825e-14
4.8535913e-08 2.0567287e-14
4.8615611e-08 2.0617830e-14
4.8695309e-08 2.0669464e-14
4.8775006e-08 2.0722142e-14
4.8854704e-08 2.0775761e-14
4.8934402e-08 2.0830168e-14
4.9014100e-08 2.0885170e-14
4.9093797e-08 2.0940541e-14
4.9173495e-08 2.0996035e-14
4.9253193e-08 2.1051401e-14
4.9332890e-08 2.1106397e-14
4.9412588e-08 2.1160802e-14
4.9492286e-08 2.1214427e-14
4.9571984e-08 2.1267131e-14
4.9651681e-08 2.1318824e-14
4.9731379e-08 2.1369476e-14
4.9811077e-08 2.1419116e-14
4.9890775e-08 2.1467834e-14
4.9970472e-08 2.1515774e-14
5.0050170e-08 2.1563124e-14
5.0129868e-08 2.1610112e-14
5.0209565e-08 2.1656988e-14
5.0289263e-08 2.1704011e-14
5.0368961e-08 2.1751438e-14
5.0448659e-08 2.1799504e-14
5.0528356e-08 2.1848417e-14
5.0608054e-08 2.1898339e-14
5.0687752e-08 2.1949380e-14
5.0767449e-08 2.2001593e-14
5.0847147e-08 2.2054968e-14
5.0926845e-08 2.2109434e-14
5.1006543e-08 2.2164861e-14
5.1086240e-08 2.2221068e-14
5.1165938e-08 2.2277830e-14
5.1245636e-08 2.2334892e-14
5.1325334e-08 2.2391979e-14
5.1405031e-08 2.2448818e-14
5.1484729e-08 2.2505145e-14
5.1564427e-08 2.2560725e-14
5.1644124e-08 2.2615365e-14
5.1723822e-08 2.2668924e-14
5.1803520e-08 2.2721322e-14
5.1883218e-08 2.2772546e-14
5.1962915e-08 2.2822650e-14
5.2042613e-08 2.2871757e-14
5.2122311e-08 2.2920046e-14
5.2202008e-08 2.2967748e-14
5.2281706e-08 2.3015133e-14
5.2361404e-08 2.3062492e-14
5.2441102e-08 2.3110126e-14
5.2520799e-08 2.3158325e-14
5.2600497e-08 2.3207356e-14
5.2680195e-08 2.3257445e-14
5.2759893e-08 2.3308765e-14
5.2839590e-08 2.3361426e-14
5.2919288e-08 2.3415471e-14
5.2998986e-08 2.3470867e-14
5.3078683e-08 2.3527509e-14
5.3158381e-08 2.3585225e-14
5.3238079e-08 2.3643782e-14
5.3317777e-08 2.3702898e-14
5.3397474e-08 2.3762257e-14
5.3477172e-08 2.3821526e-14
5.3556870e-08 2.3880372e-14
5.3636567e-08 2.3938480e-14
5.3716265e-08 2.3995575e-14
5.3795963e-08 2.4051432e-14
5.3875661e-08 2.4105896e-14
5.3955358e-08 2.4158888e-14
5.4035056e-08 2.4210414e-14
5.4114754e-08 2.4260564e-14
5.4194452e-08 2.4309511e-14
5.4274149e-08 2.4357500e-14
5.4353847e-08 2.4404840e-14
5.4433545e-08 2.4451882e-14
5.4513242e-08 2.4499008e-14
5.4592940e-08 2.4546604e-14
5.4672638e-08 2.4595040e-14
5.4752336e-08 2.4644655e-14
5.4832033e-08 2.4695729e-14
5.4911731e-08 2.4748476e-14
5.4991429e-08 2.4803022e-14
5.5071126e-08 2.4859405e-14
5.5150824e-08 2.4917560e-14
5.5230522e-08 2.4977332e-14
5.5310220e-08 2.5038469e-14
5.5389917e-08 2.5100643e-14
5.5469615e-08 2.5163458e-14
5.5549313e-08 2.5226475e-14
5.5629011e-08 2.5289229e-14
5.5708708e-08 2.5351261e-14
5.5788406e-08 2.5412137e-14
5.5868104e-08 2.5471476e-14
5.5947801e-08 2.5528976e-14
5.6027499e-08 2.5584430e-14
5.6107197e-08 2.5637742e-14
5.6186895e-08 2.5688939e-14
5.6266592e-08 2.5738171e-14
5.6346290e-08 2.5785706e-14
5.6425988e-08 2.5831921e-14
5.6505686e-08 2.5877285e-14
5.6585383e-08 2.5922330e-14
5.6665081e-08 2.5967632e-14
5.6744779e-08 2.6013776e-14
5.6824476e-08 2.6061326e-14
5.6904174e-08 2.6110792e-14
5.6983872e-08 2.6162606e-14
5.7063570e-08 2.6217091e-14
5.7143267e-08 2.6274441e-14
5.7222965e-08 2.6334709e-14
5.7302663e-08 2.6397793e-14
5.7382360e-08 2.6463437e-14
5.7462058e-08 2.6531237e-14
5.7541756e-08 2.6600656e-14
5.7621454e-08 2.6671041e-14
5.7701151e-08 2.6741659e-14
5.7780849e-08 2.6811728e-14
5.7860547e-08 2.6880461e-14
5.7940245e-08 2.6947105e-14
5.8019942e-08 2.7010991e-14
5.8099640e-08 2.7071577e-14
5.8179338e-08 2.7128481e-14
5.8259035e-08 2.7181517e-14
5.8338733e-08 2.7230717e-14
5.8418431e-08 2.7276338e-14
5.8498129e-08 2.7318862e-14
5.8577826e-08 2.7358980e-14
5.8657524e-08 2.7397565e-14
5.8737222e-08 2.7435634e-14
5.8816919e-08 2.7474300e-14
